Region,Sector,GWP100 [kg CO2-eq/unit output]
IE,Coke oven gas,286445.7728041975
IE,Blast Furnace Gas,0.0
IE,Oxygen Steel Furnace Gas,525408.5679787401
IE,Gas Works Gas,471138.6420589361
IE,Biogas,63793.36989707252
IE,Distribution services of gaseous fuels through mains,64558.56507959349
IE,Steam and hot water supply services,310436.0722956539
IE,"Collected and purified water, distribution services of water (41)",204925.23019151133
IE,Construction work (45),194096.40090617927
IE,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
IE,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",127875.15669548305
IE,Retail trade services of motor fuel,1067786.410761648
IE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",91282.9860689662
IE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",191755.32793376912
IE,Hotel and restaurant services (55),56171.387692993674
IE,Railway transportation services,114143.94095590724
IE,Other land transportation services,116998.25150233188
IE,Transportation services via pipelines,13977492.056974698
IE,Sea and coastal water transportation services,723583.7963886069
IE,Inland water transportation services,3927773.6656666663
IE,Air transport services (62),713166.7520824496
IE,Supporting and auxiliary transport services; travel agency services (63),62492.379866757874
IE,Post and telecommunication services (64),100665.04276924179
IE,"Financial intermediation services, except insurance and pension funding services (65)",40832.815196748335
IE,"Insurance and pension funding services, except compulsory social security services (66)",54501.89353724627
IE,Services auxiliary to financial intermediation (67),84110.53865985104
IE,Real estate services (70),34847.28188237348
IE,Renting services of machinery and equipment without operator and of personal and household goods (71),141900.07206816986
IE,Computer and related services (72),111349.18004281307
IE,Research and development services (73),86840.87708945104
IE,Other business services (74),46319.93352827358
IE,Public administration and defence services; compulsory social security services (75),57769.30037858623
IE,Education services (80),30658.43067562221
IE,Health and social work services (85),33232.37035491367
IE,Food waste for treatment: incineration,204925.23055199336
IE,Paper waste for treatment: incineration,486239.0733524519
IE,Plastic waste for treatment: incineration,325442.46840211673
IE,Intert/metal waste for treatment: incineration,173642.63975426333
IE,Textiles waste for treatment: incineration,204925.23035465393
IE,Wood waste for treatment: incineration,241170.16954550848
IE,Oil/hazardous waste for treatment: incineration,174328.7450276645
IE,Food waste for treatment: biogasification and land application,204925.2305034458
IE,Paper waste for treatment: biogasification and land application,204925.23039729675
IE,Sewage sludge for treatment: biogasification and land application,108603.50637159336
IE,Food waste for treatment: composting and land application,276388.70280738233
IE,Paper and wood waste for treatment: composting and land application,204925.230414191
IE,Food waste for treatment: waste water treatment,198601.80623814752
IE,Other waste for treatment: waste water treatment,190061.27822224493
IE,Food waste for treatment: landfill,71214.28205048144
IE,Paper for treatment: landfill,69246.8447009483
IE,Plastic waste for treatment: landfill,69390.88992914454
IE,Inert/metal/hazardous waste for treatment: landfill,92149.35856935458
IE,Textiles waste for treatment: landfill,84381.97851220302
IE,Wood waste for treatment: landfill,89530.10164436526
IE,Membership organisation services n.e.c. (91),137854.9522108327
IE,"Recreational, cultural and sporting services (92)",110289.27910706597
IE,Other services (93),98905.76461333112
IE,Private households with employed persons (95),8721.454458138922
IE,Extra-territorial organizations and bodies,0.0
IT,Paddy rice,2030083.5510884407
IT,Wheat,831878.8344440215
IT,Cereal grains nec,182743.60811467454
IT,"Vegetables, fruit, nuts",244321.43465704264
IT,Oil seeds,165788.29602144085
IT,"Sugar cane, sugar beet",827012.124851662
IT,Plant-based fibers,16851251.511886965
IT,Crops nec,185821.94383492364
IT,Cattle,370430.5062120545
IT,Pigs,386190.2297433696
IT,Poultry,402983.70791120507
IT,Meat animals nec,250199.46167527846
IT,Animal products nec,320680.36649915617
IT,Raw milk,226980.8065087368
IT,"Wool, silk-worm cocoons",22985848.89053331
IT,Manure (conventional treatment),0.0
IT,Manure (biogas treatment),0.0
IT,"Products of forestry, logging and related services (02)",312606.5587633971
IT,Fish and other fishing products; services incidental of fishing (05),235683.69215247766
IT,Anthracite,730384.6932101485
IT,Coking Coal,708268.0000706336
IT,Other Bituminous Coal,921917.2879645096
IT,Sub-Bituminous Coal,927574.5472895742
IT,Patent Fuel,0.0
IT,Lignite/Brown Coal,681866.6156582251
IT,BKB/Peat Briquettes,1144176.5450316533
IT,Peat,792416.9573990043
IT,"Crude petroleum and services related to crude oil extraction, excluding surveying",770535.8669125461
IT,"Natural gas and services related to natural gas extraction, excluding surveying",7983073.11804611
IT,Natural Gas Liquids,683570.7049638546
IT,Other Hydrocarbons,0.0
IT,Uranium and thorium ores (12),0.0
IT,Iron ores,0.0
IT,Copper ores and concentrates,760367.2952624084
IT,Nickel ores and concentrates,794426.8474403234
IT,Aluminium ores and concentrates,207658.0667152439
IT,Precious metal ores and concentrates,744612.6304013935
IT,"Lead, zinc and tin ores and concentrates",2361660.3919574483
IT,Other non-ferrous metal ores and concentrates,751110.9598376377
IT,Stone,319008.9187430576
IT,Sand and clay,298737.2537556869
IT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",336881.07185289264
IT,Products of meat cattle,261639.67642013257
IT,Products of meat pigs,234401.04024737419
IT,Products of meat poultry,202006.67197772197
IT,Meat products nec,210843.38708912602
IT,products of Vegetable oils and fats,179753.60205184834
IT,Dairy products,208253.9162175375
IT,Processed rice,246146.88660626992
IT,Sugar,221454.89614000398
IT,Food products nec,258624.77847517098
IT,Beverages,251674.86148067022
IT,Fish products,253415.77288786395
IT,Tobacco products (16),98077.63257667379
IT,Textiles (17),261634.03326710907
IT,Wearing apparel; furs (18),219283.891265349
IT,Leather and leather products (19),147411.92676961032
IT,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),210494.91935089653
IT,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
IT,Pulp,281219.03711578343
IT,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
IT,Paper and paper products,287155.4460247774
IT,Printed matter and recorded media (22),157348.78758682837
IT,Coke Oven Coke,770005.2532703793
IT,Gas Coke,0.0
IT,Coal Tar,396344.6203602161
IT,Motor Gasoline,919797.2004309295
IT,Aviation Gasoline,917243.0106599643
IT,Gasoline Type Jet Fuel,0.0
IT,Kerosene Type Jet Fuel,921623.1035612936
IT,Kerosene,919510.1656835151
IT,Gas/Diesel Oil,920691.9324836094
IT,Heavy Fuel Oil,909909.4986320894
IT,Refinery Gas,922108.9485142467
IT,Liquefied Petroleum Gases (LPG),918650.2333252885
IT,Refinery Feedstocks,925846.5136716495
IT,Ethane,422905.0229052905
IT,Naphtha,913403.6945222778
IT,White Spirit & SBP,907541.5194535626
IT,Lubricants,924765.391127768
IT,Bitumen,923913.8326448045
IT,Paraffin Waxes,922847.3899740533
IT,Petroleum Coke,925367.6652169455
IT,Non-specified Petroleum Products,917170.1902986257
IT,Nuclear fuel,1483927.9072086117
IT,"Plastics, basic",363198.9907362683
IT,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
IT,N-fertiliser,933655.8107031874
IT,P- and other fertiliser,2649971.7699426673
IT,Chemicals nec,538431.791818431
IT,Charcoal,371602.3208502241
IT,Additives/Blending Components,569568.1069767224
IT,Biogasoline,583451.328935508
IT,Biodiesels,574339.7655963235
IT,Other Liquid Biofuels,582564.3668421346
IT,Rubber and plastic products (25),279685.8339552402
IT,Glass and glass products,480397.94365095574
IT,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
IT,Ceramic goods,530201.615205962
IT,"Bricks, tiles and construction products, in baked clay",554381.4789205106
IT,"Cement, lime and plaster",418552.4659144153
IT,"Ash for treatment, Re-processing of ash into clinker",0.0
IT,Other non-metallic mineral products,485196.2724728067
IT,Basic iron and steel and of ferro-alloys and first products thereof,725958.6949594065
IT,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
IT,Precious metals,328160.18480617285
IT,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
IT,Aluminium and aluminium products,477142.3734781513
IT,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
IT,"Lead, zinc and tin and products thereof",1237940.8438627631
IT,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
IT,Copper products,534027.0847004127
IT,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
IT,Other non-ferrous metal products,649082.5389825787
IT,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
IT,Foundry work services,638815.4590412986
IT,"Fabricated metal products, except machinery and equipment (28)",274133.39053468994
IT,Machinery and equipment n.e.c. (29),229009.91755160398
IT,Office machinery and computers (30),153473.74901967248
IT,Electrical machinery and apparatus n.e.c. (31),711733.4127186614
IT,"Radio, television and communication equipment and apparatus (32)",170893.52812625925
IT,"Medical, precision and optical instruments, watches and clocks (33)",192480.8303773375
IT,"Motor vehicles, trailers and semi-trailers (34)",247367.06826037992
IT,Other transport equipment (35),203829.14632436412
IT,Furniture; other manufactured goods n.e.c. (36),191934.8666788617
IT,Secondary raw materials,252998.12878660616
IT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
IT,Electricity by coal,8292180.328532404
IT,Electricity by gas,1575264.3613665162
IT,Electricity by nuclear,138976.68090824323
IT,Electricity by hydro,178889.27918973548
IT,Electricity by wind,200312.04893891173
IT,Electricity by petroleum and other oil derivatives,1364716.2291502818
IT,Electricity by biomass and waste,2447975.666148852
IT,Electricity by solar photovoltaic,1320875.5277242842
IT,Electricity by solar thermal,1556778253505.2468
IT,"Electricity by tide, wave, ocean",0.0
IT,Electricity by Geothermal,178130.00762545073
IT,Electricity nec,2161595.490286676
IT,Transmission services of electricity,610453.4744930066
IT,Distribution and trade services of electricity,627856.3232275825
IT,Coke oven gas,652103.8812277475
IT,Blast Furnace Gas,661713.3894239494
IT,Oxygen Steel Furnace Gas,660628.490460771
IT,Gas Works Gas,155971.73623346057
IT,Biogas,664363.5432541226
IT,Distribution services of gaseous fuels through mains,666443.9577144318
IT,Steam and hot water supply services,1565062.5566961805
IT,"Collected and purified water, distribution services of water (41)",408865.0209249977
IT,Construction work (45),299949.7087928095
IT,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
IT,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",119161.60401883739
IT,Retail trade services of motor fuel,133219.72262562282
IT,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",117937.17923171664
IT,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",132756.8764358958
IT,Hotel and restaurant services (55),118085.54302743901
IT,Railway transportation services,338731.5366100215
IT,Other land transportation services,125422.5233958038
IT,Transportation services via pipelines,784833.5440105131
IT,Sea and coastal water transportation services,1417272.877526632
IT,Inland water transportation services,15717320.22685361
IT,Air transport services (62),941482.1881862315
IT,Supporting and auxiliary transport services; travel agency services (63),178729.17628959432
IT,Post and telecommunication services (64),89280.30846893767
IT,"Financial intermediation services, except insurance and pension funding services (65)",106586.90975249391
IT,"Insurance and pension funding services, except compulsory social security services (66)",164015.60893010508
IT,Services auxiliary to financial intermediation (67),107252.7238958334
IT,Real estate services (70),44187.95374853464
IT,Renting services of machinery and equipment without operator and of personal and household goods (71),158121.97488591177
IT,Computer and related services (72),109727.8623386035
IT,Research and development services (73),206481.3867805907
IT,Other business services (74),152542.6162095633
IT,Public administration and defence services; compulsory social security services (75),96782.14657291016
IT,Education services (80),54194.245988700364
IT,Health and social work services (85),114174.36003211464
IT,Food waste for treatment: incineration,173764.93539993514
IT,Paper waste for treatment: incineration,175222.06728155518
IT,Plastic waste for treatment: incineration,171009.88566062535
IT,Intert/metal waste for treatment: incineration,178078.4886841669
IT,Textiles waste for treatment: incineration,162786.6247881806
IT,Wood waste for treatment: incineration,169865.34083200537
IT,Oil/hazardous waste for treatment: incineration,172395.3728872321
IT,Food waste for treatment: biogasification and land application,135579.045289772
IT,Paper waste for treatment: biogasification and land application,295181.14094536717
IT,Sewage sludge for treatment: biogasification and land application,306554.0979861267
IT,Food waste for treatment: composting and land application,195402.9025187046
IT,Paper and wood waste for treatment: composting and land application,293032.8312361068
IT,Food waste for treatment: waste water treatment,190184.65569667294
IT,Other waste for treatment: waste water treatment,193617.8765357094
IT,Food waste for treatment: landfill,167713.64795616266
IT,Paper for treatment: landfill,165838.59945303848
IT,Plastic waste for treatment: landfill,160161.15195356257
IT,Inert/metal/hazardous waste for treatment: landfill,165236.6622601694
IT,Textiles waste for treatment: landfill,156765.61763384243
IT,Wood waste for treatment: landfill,162123.18291082478
IT,Membership organisation services n.e.c. (91),123091.80885721497
IT,"Recreational, cultural and sporting services (92)",109734.93826470381
IT,Other services (93),206259.98631883814
IT,Private households with employed persons (95),79577.06553660036
IT,Extra-territorial organizations and bodies,0.0
LT,Paddy rice,0.0
LT,Wheat,451666.514726474
LT,Cereal grains nec,433469.02218339435
LT,"Vegetables, fruit, nuts",832972.920359715
LT,Oil seeds,462435.49830522214
LT,"Sugar cane, sugar beet",1118282.324452841
LT,Plant-based fibers,154033.26573065622
LT,Crops nec,270256.43878538493
LT,Cattle,238071.29869873967
LT,Pigs,208162.2138963688
LT,Poultry,273594.3163089049
LT,Meat animals nec,171076.5497447292
LT,Animal products nec,246878.21217694445
LT,Raw milk,249068.5332836223
LT,"Wool, silk-worm cocoons",263505.13578735554
LT,Manure (conventional treatment),0.0
LT,Manure (biogas treatment),0.0
LT,"Products of forestry, logging and related services (02)",190160.52860647748
LT,Fish and other fishing products; services incidental of fishing (05),1306899.1538657637
LT,Anthracite,0.0
LT,Coking Coal,505202.01917766035
LT,Other Bituminous Coal,505202.01899790764
LT,Sub-Bituminous Coal,0.0
LT,Patent Fuel,0.0
LT,Lignite/Brown Coal,505202.0189881823
LT,BKB/Peat Briquettes,292038.33615670935
LT,Peat,292038.336066972
LT,"Crude petroleum and services related to crude oil extraction, excluding surveying",376492.6379331512
LT,"Natural gas and services related to natural gas extraction, excluding surveying",505202.0189776351
LT,Natural Gas Liquids,505202.0191121702
LT,Other Hydrocarbons,0.0
LT,Uranium and thorium ores (12),0.0
LT,Iron ores,0.0
LT,Copper ores and concentrates,14689619.187975226
LT,Nickel ores and concentrates,2189454.1534243054
LT,Aluminium ores and concentrates,0.0
LT,Precious metal ores and concentrates,0.0
LT,"Lead, zinc and tin ores and concentrates",2189454.1491885823
LT,Other non-ferrous metal ores and concentrates,0.0
LT,Stone,440820.6797403241
LT,Sand and clay,394248.69694780104
LT,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",474006.1854805553
LT,Products of meat cattle,122397.07374393076
LT,Products of meat pigs,212029.8493523766
LT,Products of meat poultry,101023.04695471509
LT,Meat products nec,52445.40207521373
LT,products of Vegetable oils and fats,459635.229748139
LT,Dairy products,240946.22448287637
LT,Processed rice,327140.3793596041
LT,Sugar,794886.8463864151
LT,Food products nec,269002.0301823246
LT,Beverages,308604.53362799593
LT,Fish products,291589.03328798997
LT,Tobacco products (16),295497.41331107763
LT,Textiles (17),263690.74048593565
LT,Wearing apparel; furs (18),209071.9341564519
LT,Leather and leather products (19),453872.61719860433
LT,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),201874.25743102934
LT,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
LT,Pulp,1184501.8996563186
LT,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
LT,Paper and paper products,519455.8905813689
LT,Printed matter and recorded media (22),338384.74344654277
LT,Coke Oven Coke,376488.91998607654
LT,Gas Coke,0.0
LT,Coal Tar,336882.84076777135
LT,Motor Gasoline,686294.9146724439
LT,Aviation Gasoline,292142.4777870141
LT,Gasoline Type Jet Fuel,618023045.1800843
LT,Kerosene Type Jet Fuel,684830.4420910849
LT,Kerosene,292091.29909870843
LT,Gas/Diesel Oil,686282.1065430839
LT,Heavy Fuel Oil,686331.1488591651
LT,Refinery Gas,686425.2076563592
LT,Liquefied Petroleum Gases (LPG),685254.6033933215
LT,Refinery Feedstocks,336967.963808202
LT,Ethane,376492.63868832483
LT,Naphtha,674965.3549167017
LT,White Spirit & SBP,292067.83573730086
LT,Lubricants,685352.6273392626
LT,Bitumen,686395.5439848532
LT,Paraffin Waxes,376487.69862521597
LT,Petroleum Coke,686236.3796167196
LT,Non-specified Petroleum Products,686991.5631446238
LT,Nuclear fuel,361055.1888993067
LT,"Plastics, basic",453024.88694165106
LT,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
LT,N-fertiliser,229779.12702259418
LT,P- and other fertiliser,391713.6742390002
LT,Chemicals nec,288030.4295142632
LT,Charcoal,606278.5807207177
LT,Additives/Blending Components,606032.091506484
LT,Biogasoline,568978.6944669306
LT,Biodiesels,605761.4000141083
LT,Other Liquid Biofuels,312716.37973219587
LT,Rubber and plastic products (25),490215.55360771704
LT,Glass and glass products,274513.03119136987
LT,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
LT,Ceramic goods,524426.6816177177
LT,"Bricks, tiles and construction products, in baked clay",741784.8753050335
LT,"Cement, lime and plaster",508062.0305028249
LT,"Ash for treatment, Re-processing of ash into clinker",0.0
LT,Other non-metallic mineral products,1707640.6839305614
LT,Basic iron and steel and of ferro-alloys and first products thereof,911056.9083146759
LT,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
LT,Precious metals,234374.322979984
LT,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
LT,Aluminium and aluminium products,461485.7324386221
LT,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
LT,"Lead, zinc and tin and products thereof",201199.61968791904
LT,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
LT,Copper products,299426.02400763886
LT,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
LT,Other non-ferrous metal products,6344004.448910727
LT,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
LT,Foundry work services,463974.94480350736
LT,"Fabricated metal products, except machinery and equipment (28)",245623.20238997423
LT,Machinery and equipment n.e.c. (29),157211.48891987925
LT,Office machinery and computers (30),138068.9556379733
LT,Electrical machinery and apparatus n.e.c. (31),242816.62089309483
LT,"Radio, television and communication equipment and apparatus (32)",1049658.7117750922
LT,"Medical, precision and optical instruments, watches and clocks (33)",141998.10870000863
LT,"Motor vehicles, trailers and semi-trailers (34)",260086.82558004188
LT,Other transport equipment (35),129389.17081148649
LT,Furniture; other manufactured goods n.e.c. (36),148789.55290336438
LT,Secondary raw materials,242959.7669487898
LT,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
LT,Electricity by coal,2478121.4585927953
LT,Electricity by gas,2579909.782836797
LT,Electricity by nuclear,59032.96125263752
LT,Electricity by hydro,81526.57022002064
LT,Electricity by wind,852988.0581531444
LT,Electricity by petroleum and other oil derivatives,1613990.5375752358
LT,Electricity by biomass and waste,291132.24395810615
LT,Electricity by solar photovoltaic,428352.00360602717
LT,Electricity by solar thermal,530631.4300983966
LT,"Electricity by tide, wave, ocean",1336415.0204987135
LT,Electricity by Geothermal,485205.355060664
LT,Electricity nec,518980.91740468383
LT,Transmission services of electricity,1065451.2694168128
LT,Distribution and trade services of electricity,1076507.371053042
LT,Coke oven gas,508783.11934295594
LT,Blast Furnace Gas,541023.0927368279
LT,Oxygen Steel Furnace Gas,542637.5322412411
LT,Gas Works Gas,554704.0765331073
LT,Biogas,1956605.5769947236
LT,Distribution services of gaseous fuels through mains,2024896.3299788397
LT,Steam and hot water supply services,10586841.795980165
LT,"Collected and purified water, distribution services of water (41)",2064838.4408769056
LT,Construction work (45),213186.57614690257
LT,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
LT,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",237883.3236468827
LT,Retail trade services of motor fuel,153535.87472442404
LT,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",134312.4450869611
LT,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",69782.31905876397
LT,Hotel and restaurant services (55),42815.97963129499
LT,Railway transportation services,599923.4350127525
LT,Other land transportation services,104591.52187981026
LT,Transportation services via pipelines,15476276.313942906
LT,Sea and coastal water transportation services,1642111.1843852394
LT,Inland water transportation services,2070374.8321739729
LT,Air transport services (62),641209.8164342887
LT,Supporting and auxiliary transport services; travel agency services (63),143290.55291624885
LT,Post and telecommunication services (64),54910.979189863036
LT,"Financial intermediation services, except insurance and pension funding services (65)",98045.5075434868
LT,"Insurance and pension funding services, except compulsory social security services (66)",96307.09360886758
LT,Services auxiliary to financial intermediation (67),90260.7512380657
LT,Real estate services (70),74745.90053638286
LT,Renting services of machinery and equipment without operator and of personal and household goods (71),138545.0863087815
LT,Computer and related services (72),148317.52996639122
LT,Research and development services (73),401816.706446594
LT,Other business services (74),99675.49050201915
LT,Public administration and defence services; compulsory social security services (75),110809.56147372402
LT,Education services (80),55337.624928925274
LT,Health and social work services (85),73344.40115324756
LT,Food waste for treatment: incineration,1303096.886567758
LT,Paper waste for treatment: incineration,1303788.0828333753
LT,Plastic waste for treatment: incineration,1306899.165409713
LT,Intert/metal waste for treatment: incineration,1264993.4297083595
LT,Textiles waste for treatment: incineration,1306899.1619152152
LT,Wood waste for treatment: incineration,1306899.156178618
LT,Oil/hazardous waste for treatment: incineration,896776.5527964042
LT,Food waste for treatment: biogasification and land application,0.0
LT,Paper waste for treatment: biogasification and land application,0.0
LT,Sewage sludge for treatment: biogasification and land application,1184052.2112126022
LT,Food waste for treatment: composting and land application,168303.87073114282
LT,Paper and wood waste for treatment: composting and land application,0.0
LT,Food waste for treatment: waste water treatment,1249338.1004945277
LT,Other waste for treatment: waste water treatment,1171584.2483159765
LT,Food waste for treatment: landfill,181177.32771670524
LT,Paper for treatment: landfill,646636.8973064595
LT,Plastic waste for treatment: landfill,459693.7980905877
LT,Inert/metal/hazardous waste for treatment: landfill,190462.67918019113
LT,Textiles waste for treatment: landfill,1382938.159575523
LT,Wood waste for treatment: landfill,1102881.770312816
LT,Membership organisation services n.e.c. (91),100389.04589576749
LT,"Recreational, cultural and sporting services (92)",214243.8713276016
LT,Other services (93),131513.23918411453
LT,Private households with employed persons (95),13280.838254442098
LT,Extra-territorial organizations and bodies,0.0
LU,Paddy rice,0.0
LU,Wheat,12676459.328872235
LU,Cereal grains nec,2367463.389678304
LU,"Vegetables, fruit, nuts",1361080.7278583797
LU,Oil seeds,385199.5206017662
LU,"Sugar cane, sugar beet",251136.33776140996
LU,Plant-based fibers,0.0
LU,Crops nec,1827906.828417598
LU,Cattle,932701.0230994617
LU,Pigs,443628.55397484975
LU,Poultry,799560.1570505775
LU,Meat animals nec,350058.5131197789
LU,Animal products nec,725414.5810722376
LU,Raw milk,214549.92820134258
LU,"Wool, silk-worm cocoons",32730215.142820414
LU,Manure (conventional treatment),0.0
LU,Manure (biogas treatment),0.0
LU,"Products of forestry, logging and related services (02)",909312.3921391799
LU,Fish and other fishing products; services incidental of fishing (05),6318541.364153994
LU,Anthracite,0.0
LU,Coking Coal,0.0
LU,Other Bituminous Coal,0.0
LU,Sub-Bituminous Coal,0.0
LU,Patent Fuel,0.0
LU,Lignite/Brown Coal,0.0
LU,BKB/Peat Briquettes,0.0
LU,Peat,0.0
LU,"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0
LU,"Natural gas and services related to natural gas extraction, excluding surveying",0.0
LU,Natural Gas Liquids,0.0
LU,Other Hydrocarbons,0.0
LU,Uranium and thorium ores (12),0.0
LU,Iron ores,0.0
LU,Copper ores and concentrates,0.0
LU,Nickel ores and concentrates,0.0
LU,Aluminium ores and concentrates,0.0
LU,Precious metal ores and concentrates,0.0
LU,"Lead, zinc and tin ores and concentrates",0.0
LU,Other non-ferrous metal ores and concentrates,0.0
LU,Stone,0.0
LU,Sand and clay,134630.94023385935
LU,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",0.0
LU,Products of meat cattle,259250.388400968
LU,Products of meat pigs,118423.86311577006
LU,Products of meat poultry,102895.73474920927
LU,Meat products nec,256884.47453981554
LU,products of Vegetable oils and fats,184996.9443870099
LU,Dairy products,275990.80866578233
LU,Processed rice,689687.2318463258
LU,Sugar,172608.92320881278
LU,Food products nec,248206.36487275444
LU,Beverages,351936.88065154676
LU,Fish products,285672.9555939073
LU,Tobacco products (16),263944.41338567884
LU,Textiles (17),767317.1204492984
LU,Wearing apparel; furs (18),12338606.548382785
LU,Leather and leather products (19),0.0
LU,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),601459.3264632128
LU,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
LU,Pulp,472509.7083175481
LU,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
LU,Paper and paper products,496703.70419932745
LU,Printed matter and recorded media (22),353768.1667355712
LU,Coke Oven Coke,0.0
LU,Gas Coke,0.0
LU,Coal Tar,0.0
LU,Motor Gasoline,0.0
LU,Aviation Gasoline,0.0
LU,Gasoline Type Jet Fuel,0.0
LU,Kerosene Type Jet Fuel,0.0
LU,Kerosene,0.0
LU,Gas/Diesel Oil,0.0
LU,Heavy Fuel Oil,0.0
LU,Refinery Gas,0.0
LU,Liquefied Petroleum Gases (LPG),0.0
LU,Refinery Feedstocks,0.0
LU,Ethane,0.0
LU,Naphtha,0.0
LU,White Spirit & SBP,0.0
LU,Lubricants,0.0
LU,Bitumen,0.0
LU,Paraffin Waxes,0.0
LU,Petroleum Coke,0.0
LU,Non-specified Petroleum Products,0.0
LU,Nuclear fuel,0.0
LU,"Plastics, basic",719303.1897222188
LU,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
LU,N-fertiliser,142144.2067394297
LU,P- and other fertiliser,380827.87087500055
LU,Chemicals nec,758661.4247497283
LU,Charcoal,0.0
LU,Additives/Blending Components,0.0
LU,Biogasoline,0.0
LU,Biodiesels,0.0
LU,Other Liquid Biofuels,0.0
LU,Rubber and plastic products (25),617283.1820079542
LU,Glass and glass products,289207.1406760798
LU,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
LU,Ceramic goods,735179.3685700211
LU,"Bricks, tiles and construction products, in baked clay",781822.8509503137
LU,"Cement, lime and plaster",1038715.4543953626
LU,"Ash for treatment, Re-processing of ash into clinker",0.0
LU,Other non-metallic mineral products,761145.1461096379
LU,Basic iron and steel and of ferro-alloys and first products thereof,567868.8087941498
LU,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
LU,Precious metals,603404.8359968581
LU,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
LU,Aluminium and aluminium products,492550.28420990234
LU,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
LU,"Lead, zinc and tin and products thereof",616147.6780183915
LU,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
LU,Copper products,396726.83082737826
LU,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
LU,Other non-ferrous metal products,453592.2584739424
LU,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
LU,Foundry work services,1058648.408440531
LU,"Fabricated metal products, except machinery and equipment (28)",507601.51343935536
LU,Machinery and equipment n.e.c. (29),272771.3184676074
LU,Office machinery and computers (30),363080.4168085106
LU,Electrical machinery and apparatus n.e.c. (31),564132.0393169309
LU,"Radio, television and communication equipment and apparatus (32)",408329.68913776096
LU,"Medical, precision and optical instruments, watches and clocks (33)",177207.28051281822
LU,"Motor vehicles, trailers and semi-trailers (34)",505533.3318095212
LU,Other transport equipment (35),533108.72748208
LU,Furniture; other manufactured goods n.e.c. (36),864821.3098009044
LU,Secondary raw materials,0.0
